symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry
SYLVANPLY.NS,2026-09-18,52.0,53.72499974568685,52.20972209506564,53.51099975585937,52.97200007120768,54.01550004959106,53.0671103315807,40.0,74.4000015258789,False,False,False,False,False,True,False,False,False,-25.71428571428571,dry,0.0,False,False,False,False,Sylvan Plyboard,Consumer Durables,Plywood Boards/ Laminates
DRONE.NS,2026-09-18,32.95000076293945,33.46666685740153,36.60555564032661,37.42400016784668,42.785000025431316,47.71125003814697,33.49278840189791,31.700000762939453,101.8499984741211,False,False,False,False,False,False,False,False,False,-62.72624412422276,noise,41.00761570005858,False,True,False,False,Drone Destinatio,Other Consumer Services,Education
PARAGON.NS,2026-09-18,53.650001525878906,53.23333326975504,50.32916673024496,49.92900001525879,46.869666798909506,45.562250022888186,53.501211421748266,34.099998474121094,64.9000015258789,True,True,False,True,True,True,True,True,False,0.28037668388580794,noise,41.32231404958678,False,False,False,False,Paragon Fine,Chemicals & Petrochemicals,Dyes And Pigments
ARABIAN.NS,2026-09-18,85.5,84.08333333333333,82.8555556403266,79.01,72.97566650390625,72.3629999923706,83.0583539802555,63.20000076293945,94.30000305175781,True,True,True,True,True,True,True,True,False,15.15151515151516,noise,55.14705882352941,False,False,False,False,Arabian Petrol.,Petroleum Products,Lubricants
DTL.NS,2026-09-18,143.0,131.75,124.5,124.27200012207031,119.69733322143554,124.38374992370605,134.47578301809156,82.05000305175781,178.0,True,False,False,False,True,True,True,True,False,10.424710424710426,dry,0.0,False,False,False,False,Diensten Tech,Commercial Services & Supplies,Diversified Commercial Services
MOXSH.NS,2026-09-18,90.5,96.34166653951009,103.21111106872559,104.125,116.49566782633464,108.64350086212158,95.43585432929451,33.5,140.0,False,True,True,False,False,True,False,False,False,134.15264276096823,dry,0.0,False,True,False,False,Moxsh Overseas,Other Consumer Services,Education
SCML.NS,2026-09-18,77.55000305175781,79.5458329518636,82.05555555555556,81.17399993896484,104.41466669718424,112.61825012207031,78.45584294630487,68.05000305175781,159.5,False,False,False,False,False,False,False,False,False,-6.566261383424321,ppv,486.25792811839324,True,False,False,False,Sharp Chucks and,Industrial Products,Castings & Forgings
PRLIND.NS,2026-09-18,41.5,41.94583288828532,42.891666412353516,43.71299980163574,52.18366655985514,57.31299983978271,42.166018628218076,37.599998474121094,93.0,False,False,False,False,False,False,False,False,False,-50.388524515255284,noise,36.496350364963504,False,False,False,False,Premier Roadline,Transport Services,Logistics Solution Provider
FONEBOX.NS,2026-09-18,132.1999969482422,113.17916679382324,100.19166670905219,93.62400009155273,81.05200002034505,83.14125015258789,119.36496746115554,57.0,136.5,True,False,False,True,True,True,True,True,False,37.350646179991884,red,492.5373134328358,False,True,False,False,Fonebox Retail,Retailing,Speciality Retail
DCG.NS,2026-09-18,78.5,77.15833346048991,61.92638905843099,59.3260001373291,59.88666666666666,61.06650001525879,78.25428908223492,47.0,93.94999694824219,True,False,False,False,True,True,True,True,False,15.27166190735092,noise,91.74311926605505,False,False,False,False,DCG Cables,Industrial Products,Cables - Electricals
