Name,Symbol,Industry Group,Industry,Current Price
Ahimsa Industrie,AHIMSA,Industrial Products,Plastic Products - Industrial,25.75
Ahlada Engineers,AHLADA,Consumer Durables,"Furniture, Home Furnishing",37.29
Ahluwalia Contr.,AHLUCONT,Construction,Civil Construction,599.05
AIA Engineering,AIAENG,Industrial Products,Castings & Forgings,4231.2
Aimtron,AIMTRON,Industrial Manufacturing,Industrial Products,1582.6
Aion-Tech Soluti,GOLDTECH,IT - Software,Software Products,47.04
Airan,AIRAN,IT - Services,IT Enabled Services,15.44
Airo Lam,AIROLAM,Consumer Durables,Plywood Boards/ Laminates,86.46
Ajanta Pharma,AJANTPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals,3464.8
Ajax Engineering,AJAXENGG,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,582.45
Ajmera Realty,AJMERA,Realty,"Residential, Commercial Projects",117.76
Ajooni Biotech,AJOONI,Food Products,Animal Feed,3.71
Akanksha Power,AKANKSHA,Electrical Equipment,Other Electrical Equipment,136.7
Akash InfraProj.,AKASH,Construction,Civil Construction,25.6
AKG Exim,AKG,Commercial Services & Supplies,Trading & Distributors,9.59
AKI India,AKI,Consumer Durables,Leather And Leather Products,7.22
Akiko,AKIKO,Finance,Other Financial Services,416.15
Akme Fintrade,AFIL,Finance,Non Banking Financial Company (NBFC),9.22
Aksh Optifibre,AKSHOPTFBR,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,7.43
Akshar Spintex,AKSHAR,Textiles & Apparels,Other Textile Products,0.42
AksharChem (I),AKSHARCHEM,Chemicals & Petrochemicals,Dyes And Pigments,444.85
Akums Drugs,AKUMS,Pharmaceuticals & Biotechnology,Pharmaceuticals,765.75
Alankit,ALANKIT,Commercial Services & Supplies,Diversified Commercial Services,8.14
Albert David,ALBERTDAVD,Pharmaceuticals & Biotechnology,Pharmaceuticals,860.25
Alcokraft Dist.,ALCODIS,Beverages,Breweries & Distilleries,68.4
Alembic,ALEMBICLTD,Realty,"Residential, Commercial Projects",111.41
Alembic Pharma,APLLTD,Pharmaceuticals & Biotechnology,Pharmaceuticals,808.2
Alfred Herbert,ALFREDHE,Finance,Non Banking Financial Company (NBFC),2898.9
Algoquant Fin,ALGOQUANT,Finance,Other Financial Services,64.5
Alicon Cast.,ALICON,Auto Components,Auto Components & Equipments,684.2
Alivus Life,ALIVUS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1366.3
Alkali Metals,ALKALI,Chemicals & Petrochemicals,Specialty Chemicals,65.55
Alkem Lab,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5190
Alkyl Amines,ALKYLAMINE,Chemicals & Petrochemicals,Specialty Chemicals,2020.9
All E Tech,ALLETEC,IT - Software,Computers - Software & Consulting,137.25
All Time Plastic,ALLTIME,Consumer Durables,Houseware,206.08
Allcargo Global,AGL,Transport Services,Logistics Solution Provider,13.65
Allcargo Logist.,ALLCARGO,Transport Services,Logistics Solution Provider,12.44
Allcargo Termi,ATL,Transport Infrastructure,Port & Port services,25.31
Alldigi Tech,ALLDIGI,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),805.85
Allied Blenders,ABDL,Beverages,Breweries & Distilleries,609.95
Allied Digital,ADSL,IT - Services,IT Enabled Services,104.13
Almondz Global,ALMONDZ,Capital Markets,Stockbroking & Allied,17.89
Alok Industries,ALOKINDS,Textiles & Apparels,Other Textile Products,7.83
Alpa Laboratorie,ALPA,Pharmaceuticals & Biotechnology,Pharmaceuticals,62.71
Alpex Solar,ALPEXSOLAR,Electrical Equipment,Other Electrical Equipment,889.3
Alphageo (India),ALPHAGEO,Oil,Offshore Support Solution Drilling,323.85
Alpine Texworld,ALPINETEX,Textiles & Apparels,Other Textile Products,57.76
Alufluoride,ALUFLUOR,Chemicals & Petrochemicals,Commodity Chemicals,499.05
Aluwind Infra,ALUWIND,Industrial Products,"Aluminium, Copper & Zinc Products",49.2
Amagi Media Labs,AMAGI,IT - Services,IT Enabled Services,563.3
Amal,AMAL,Chemicals & Petrochemicals,Specialty Chemicals,743.2
Amanta Healthcar,AMANTA,Pharmaceuticals & Biotechnology,Pharmaceuticals,194.03
Amara Raja Ener.,ARE&M,Auto Components,Auto Components & Equipments,864.2
Amarjothi Spg.,AMARJOTHI,Textiles & Apparels,Other Textile Products,160.94
Amba Auto Sales,AMBAAUTO,Automobiles,Auto Dealer,110.5
Ambalal Sarabhai,AMBALALSA,Pharmaceuticals & Biotechnology,Pharmaceuticals,43.73
Ambani Orgochem,AMBANIORGO,Chemicals & Petrochemicals,Specialty Chemicals,110
Amber Enterp.,AMBER,Consumer Durables,Household Appliances,7474
Ambica Agarbat.,AMBICAAGAR,Household Products,Household Products,27.21
Ambika Cotton,AMBIKCO,Textiles & Apparels,Other Textile Products,1639.1
Ambuja Cements,AMBUJACEM,Cement & Cement Products,Cement & Cement Products,405
AMD Industries,AMDIND,Industrial Products,Packaging,60.32
Ameya Precision,AMEYA,Industrial Products,Other Industrial Products,107.15
Amiable Logistic,AMIABLE,Transport Services,Logistics Solution Provider,77
Amines & Plast.,AMNPLST,Chemicals & Petrochemicals,Commodity Chemicals,172.89
AMJ Land Holdin.,AMJLAND,Realty,"Residential, Commercial Projects",39.47
Amrutanjan Healt,AMRUTANJAN,Pharmaceuticals & Biotechnology,Pharmaceuticals,505.45
Anand Rathi Shar,ARSSBL,Capital Markets,Stockbroking & Allied,515.05
Anand Rathi Wea.,ANANDRATHI,Capital Markets,Financial Products Distributor,2215.9
Anant Raj,ANANTRAJ,Realty,"Residential, Commercial Projects",625.45
Anantam Highways,ANANTAM,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",106
Anawil Wire,ANAWIL,Electrical Equipment,Heavy Electrical Equipment,382.4
ANB Metal,AMCL,Industrial Products,"Aluminium, Copper & Zinc Products",370
Andhra Cements,ACL,Cement & Cement Products,Cement & Cement Products,43.36
Andhra Paper,ANDHRAPAP,"Paper, Forest & Jute Products",Paper & Paper Products,64.45
Andhra Sugars,ANDHRSUGAR,Chemicals & Petrochemicals,Commodity Chemicals,99.51
Andrew Yule & Co,ANDREWYU,Agricultural Food & other Products,Tea & Coffee,27.93
Angel One,ANGELONE,Capital Markets,Stockbroking & Allied,299.8
ANI Integrated,AISL,Commercial Services & Supplies,Diversified Commercial Services,59.95
Anik Industries,ANIKINDS,Commercial Services & Supplies,Trading & Distributors,45
Anjani Portland,APCL,Cement & Cement Products,Cement & Cement Products,101.42
Ankit Met.Power,ANKITMETAL,Ferrous Metals,Iron & Steel,1.7
Anlon Healthcare,AHCL,Pharmaceuticals & Biotechnology,Pharmaceuticals,15.68
Anlon Tech,ANLON,Commercial Services & Supplies,Diversified Commercial Services,670
Anmol India,ANMOL,Consumable Fuels,Trading - Coal,10.08
Annapurna Swadi.,ANNAPURNA,Food Products,Packaged Foods,140.2
Annu Projects,ANNU,Construction,Civil Construction,68.23
Anondita Medi.,ANONDITA,Personal Products,Personal Care,1109.55
Ansal Buildwell,ANSALBU,Realty,"Residential, Commercial Projects",80.68
Ansal Properties,ANSALAPI,Realty,"Residential, Commercial Projects",3.31
Antarctica,ANTGRAPHIC,Industrial Products,Packaging,0.73
Antelopus Selan,ANTELOPUS,Oil,Oil Exploration & Production,957.15
Anthem Bioscienc,ANTHEM,Pharmaceuticals & Biotechnology,Biotechnology,934.05
Antony Waste han,AWHCL,Other Utilities,Waste Management,370.8
Anuh Pharma,ANUHPHR,Pharmaceuticals & Biotechnology,Pharmaceuticals,81.1
Anupam Rasayan,ANURAS,Chemicals & Petrochemicals,Specialty Chemicals,1238.7
Anya Polytech &,ANYA,Fertilizers & Agrochemicals,Fertilizers,15.3
Anzen IYEP Trust,ANZEN,Power,Power - Transmission,129
Apar Inds.,APARINDS,Electrical Equipment,Other Electrical Equipment,17421
Apcotex Industri,APCOTEXIND,Industrial Products,Rubber,635.5
Apeejay Surrend.,PARKHOTELS,Leisure Services,Hotels & Resorts,112.18
Apex Ecotech,APEXECO,Other Utilities,Water Supply & Management,278.2
Apex Frozen Food,APEX,Food Products,Seafood,375.15
APL Apollo Tubes,APLAPOLLO,Industrial Products,Iron & Steel Products,2250
Apollo Hospitals,APOLLOHOSP,Healthcare Services,Hospital,8650
Apollo Micro Sys,APOLLO,Aerospace & Defense,Aerospace & Defense,388.9
Apollo Pipes,APOLLOPIPE,Industrial Products,Plastic Products - Industrial,605.1
Apollo Sindoori,APOLSINHOT,Leisure Services,Hotels & Resorts,1218.1
Apollo Tyres,APOLLOTYRE,Auto Components,Tyres & Rubber Products,429.55
Apoorva Leasing,APOORVA,Finance,Other Financial Services,25.5
Aprameya Enginee,APRAMEYA,Healthcare Equipment & Supplies,Medical Equipment & Supplies,116.5
Apsis Aerocom,APSISAERO,Aerospace & Defense,Aerospace & Defense,611.3
Aptech,APTECHT,Other Consumer Services,Education,89.13
Aptus Value Hou.,APTUS,Finance,Housing Finance Company,258.85
Aqylon Nexus,AQYLON,Entertainment,TV Broadcasting & Software Production,22.46
Arabian Petrol.,ARABIAN,Petroleum Products,Lubricants,86.25
ARC Insulation,ARCIIL,Industrial Products,Other Industrial Products,36.95
Archean Chemical,ACI,Chemicals & Petrochemicals,Specialty Chemicals,504.2
Archidply Decor,ADL,Consumer Durables,Plywood Boards/ Laminates,72
Archidply Inds.,ARCHIDPLY,Consumer Durables,Plywood Boards/ Laminates,104.89
Archies,ARCHIES,Consumer Durables,Leisure Products,12.9
ARCL Organics,ARCL,Chemicals & Petrochemicals,Commodity Chemicals,225
Ardee Industries,ARDEE,Diversified Metals,Diversified Metals,55.66
Arfin India,ARFIN,Non - Ferrous Metals,Aluminium,87.24
Arham Tech,ARHAM,Consumer Durables,Consumer Electronics,213.95
Aries Agro,ARIES,Fertilizers & Agrochemicals,Fertilizers,500.1
Arih.Found.Hsg.,ARIHANT,Realty,"Residential, Commercial Projects",953.15
Arihant Academy,ARIHANTACA,Other Consumer Services,Education,498.25
Arihant Capital,ARIHANTCAP,Capital Markets,Stockbroking & Allied,79.69
Arihant Super.,ARIHANTSUP,Realty,"Residential, Commercial Projects",229.5
Arisinfra Solu.,ARIS,Other Construction Materials,Other Construction Materials,128.56
Aristo Bio-Tech,ARISTO,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,103
Arkade,ARKADE,Realty,"Residential, Commercial Projects",125.22
Arman Financial,ARMANFIN,Finance,Non Banking Financial Company (NBFC),2069.3
Armour Security,ARMOUR,Commercial Services & Supplies,Diversified Commercial Services,18
Aro Granite Inds,AROGRANITE,Consumer Durables,Granites & Marbles,24.55
Arrow Greentech,ARROWGREEN,Industrial Products,Packaging,814.1
Arshiya,ARSHIYA,Transport Services,Logistics Solution Provider,0.73
Art Nirman Ltd,ARTNIRMAN,Realty,"Residential, Commercial Projects",40.63
Artemis Electri.,AEPL,Electrical Equipment,Other Electrical Equipment,17.5
Artemis Medicare,ARTEMISMED,Healthcare Services,Hospital,332.8
Arunaya Organics,ARUNAYA,Chemicals & Petrochemicals,Dyes And Pigments,14.45
Arvee Laborat.,ARVEE,Chemicals & Petrochemicals,Specialty Chemicals,165.1
Arvind Fashions.,ARVINDFASN,Retailing,Speciality Retail,446.5
